uuid,question_type,has_fl_proof?,fl_proof_compiles?,has_nl_proof?,has_soln_description?,soln_description,informal_statement,informal_proof,formal_statement,formal_proof,fl_proof_compilation_REPLerror
dab412a1-7139-57d2-8e74-e532cc59b603,proof,yes,yes,yes_generated,no,,"Let $x$, $y$ be real numbers, such that $x^2 + x \leq y$. Prove that $y^2 + y \geq x$.","We are given that $x$ and $y$ are real numbers satisfying the inequality $x^2 + x \leq y$. We want to prove that $y^2 + y \geq x$.

The inequality we want to prove, $y^2 + y \geq x$, is equivalent to showing that the expression $y^2 + y - x$ is non-negative.

Consider the following algebraic identity:
$$ y^2 + y - x = (x^2 + y^2) + (y - (x^2 + x)) $$
We can verify this identity by expanding the right-hand side:
$$ (x^2 + y^2) + (y - x^2 - x) = x^2 + y^2 + y - x^2 - x = y^2 + y - x $$
This confirms the identity is correct.

Now, let us analyze the two terms on the right-hand side of the identity:
1.  The term $(x^2 + y^2)$ is a sum of two squares of real numbers. Since the square of any real number is non-negative, we have $x^2 \geq 0$ and $y^2 \geq 0$. Therefore, their sum, $x^2 + y^2$, must be non-negative.
2.  The term $(y - (x^2 + x))$ is non-negative by the given hypothesis. The hypothesis is $x^2 + x \leq y$, which can be rewritten as $y - (x^2 + x) \geq 0$.

Since the expression $y^2 + y - x$ is equal to the sum of two non-negative terms, namely $(x^2 + y^2)$ and $(y - (x^2 + x))$, it must itself be non-negative.
Thus, we have shown that:
$$ y^2 + y - x \geq 0 $$
which is equivalent to our desired result:
$$ y^2 + y \geq x $$
This completes the proof.","import Mathlib

/- Let $x$, $y$ be real numbers, such that $x^2 + x \leq y$. Prove that $y^2 + y \geq x$. -/
theorem inequalities_81125 (x y : ℝ) (h : x ^ 2 + x ≤ y) : y ^ 2 + y ≥ x := by","import Mathlib

theorem inequalities_81125 (x y : ℝ) (h : x ^ 2 + x ≤ y) : y ^ 2 + y ≥ x := by
  nlinarith [sq_nonneg (y - x), sq_nonneg (x + 1/2), sq_nonneg (y + 1/2), sq_nonneg (y - x^2 - x)]",
b7a14f8b-112d-5220-921d-e72d7a5d80a7,math-word-problem,no,,no,yes,"49. Let $d$ be the number of tens in the number that needs to be squared. This means the last number has the form

$$
10 d+5 \text{. }
$$

Squaring it, we get

$$
100 d^{2}+100 d+25
$$

or

$$
100 d(d+1)+25
$$

For example,

$$
(85)^{2}=""(8 \cdot 9) 25 ""=7225
$$

Thus, Maurice's trick always gives the correct answer.","## 49. Trick

Maurice always disappointed his teachers, especially his math teachers. However, when he needed to calculate the square of 35, or 75, or finally 85, he always gave the correct answer in one second. The thing is, he had one trick up his sleeve that he was very proud of: to determine the square of any two-digit number ending in 5, he first multiplied the tens digit by the same number increased by 1, and then appended 25 to the number obtained. For example, when calculating \( (75)^2 \), he wrote "" \( (7 \times 8) 25 \) "" and easily got the desired result: 5625.

Please explain on what Maurice's trick is based?",,"import Mathlib

/- ## 49. Trick

Maurice always disappointed his teachers, especially his math teachers. However, when he needed to calculate the square of 35, or 75, or finally 85, he always gave the correct answer in one second. The thing is, he had one trick up his sleeve that he was very proud of: to determine the square of any two-digit number ending in 5, he first multiplied the tens digit by the same number increased by 1, and then appended 25 to the number obtained. For example, when calculating \( (75)^2 \), he wrote "" \( (7 \times 8) 25 \) "" and easily got the desired result: 5625.

Please explain on what Maurice's trick is based? -/
theorem algebra_274886 {n : ℕ} (h : n % 10 = 5) :
    n^2 = (n / 10) * ((n / 10) + 1) * 100 + 25 := by",,
93b65a99-8da9-5294-803c-c8b6c1d4c0eb,MCQ,no,,no,yes,"［Solution］Notice the following fact:
If $N_{1}=Q_{1} D+R_{1}, N_{2}=Q_{2} D+R_{2}$, then
$$
N_{1} N_{2}=\left(Q_{1} Q_{2} D+Q_{1} R_{2}+Q_{2} R_{1}\right) D+R_{1} R_{2} \text {. }
$$

That is, if $N_{1}, N_{2}$ are divided by $D$ with remainders $R_{1}, R_{2}$, then $N_{1} N_{2}$ divided by $D$ has a remainder of $R_{1} R_{2}$.
Since $2^{6}=64$ divided by 13 has a remainder of -1, then $2^{12}$ divided by 13 has a remainder of 1. Also, $2^{1000}=2^{996} \cdot 2^{4}=\left(2^{12}\right)^{83} \cdot 16$, when divided by 13, leaves a remainder of $1^{83} \cdot 3=3$.
Therefore, the answer is $(C)$.","$29 \cdot 182^{1000}$ divided by 13, the remainder is 
(A) 1.
(B) 2.
(C) 3.
(D) 7.
(E) 11.
(23rd American High School Mathematics Examination, 1972)",,"import Mathlib

/- $29 \cdot 182^{1000}$ divided by 13, the remainder is 
(A) 1.
(B) 2.
(C) 3.
(D) 7.
(E) 11.
(23rd American High School Mathematics Examination, 1972) -/
theorem number_theory_218597 : (29 * 182 ^ 1000) % 13 = 3 := by",,
a6ba5c5a-000f-5d30-81b9-2baaa1559113,proof,no,,no,no,,Prove that $\frac{1}{25} \sum_{k=0}^{2001} \left[ \frac{2^k}{25}\right]$ is a positive integer.,,"import Mathlib

/- Prove that $\frac{1}{25} \sum_{k=0}^{2001} \left[ \frac{2^k}{25}\right]$ is a positive integer. -/
theorem number_theory_85507 : ∃ n : ℕ, 0 < n ∧ (1 / 25 : ℝ) * ∑ k in Finset.range 2002, ⌊(2 ^ k / 25 : ℝ)⌋ = n := by",,
355c5c2e-5e42-5779-87b3-cdd8ffffc52c,proof,no,,no,yes,"## Solution.

Let

$$
\begin{aligned}
& X=\sin 2 \alpha(1+\operatorname{tg} 2 \alpha \operatorname{tg} \alpha)=\sin 2 \alpha\left(1+\frac{\sin 2 \alpha}{\cos 2 \alpha} \cdot \frac{\sin \alpha}{\cos \alpha}\right)= \\
& =\frac{\sin 2 \alpha(\cos 2 \alpha \cos \alpha+\sin 2 \alpha \sin \alpha)}{\cos 2 \alpha \cos \alpha}
\end{aligned}
$$

and applying the formula $\cos x \cos y+\sin x \sin y=\cos (x-y)$, we can represent this expression as

$$
X=\frac{\sin 2 \alpha \cos \alpha}{\cos 2 \alpha \cos \alpha}=\frac{\sin 2 \alpha}{\cos 2 \alpha}=\operatorname{tg} 2 \alpha
$$

Let $Y=\frac{1+\sin \alpha}{1-\sin \alpha}=\frac{1+\sin \left(2 \cdot \frac{\alpha}{2}\right)}{1-\sin \left(2 \cdot \frac{\alpha}{2}\right)}$.

Since $\sin 2 x=2 \sin x \cos x$, then

$$
\begin{aligned}
& Y=\frac{1+2 \sin \frac{\alpha}{2} \cos \frac{\alpha}{2}}{1-2 \sin \frac{\alpha}{2} \cos \frac{\alpha}{2}}=\frac{\cos ^{2} \frac{\alpha}{2}+\sin ^{2} \frac{\alpha}{2}+2 \sin \frac{\alpha}{2} \cos \frac{\alpha}{2}}{\cos ^{2} \frac{\alpha}{2}+\sin ^{2} \frac{\alpha}{2}-2 \sin \frac{\alpha}{2} \cos \frac{\alpha}{2}}= \\
& =\frac{\left(\cos \frac{\alpha}{2}+\sin \frac{\alpha}{2}\right)^{2}}{\left(\cos \frac{\alpha}{2}-\sin \frac{\alpha}{2}\right)^{2}}=\left(\frac{\cos \frac{\alpha}{2}+\sin \frac{\alpha}{2}}{\cos \frac{\alpha}{2}-\sin \frac{\alpha}{2}}\right)^{2}
\end{aligned}
$$

Dividing the numerator and the denominator of the expression in parentheses by $\cos \frac{\alpha}{2} \neq 0$

and applying the formula $\frac{\operatorname{tg} x+\operatorname{tg} y}{1-\operatorname{tg} x \operatorname{tg} y}=\operatorname{tg}(x+y)$, where $x, y, x+y \neq \frac{\pi}{2}+\pi n, n \in Z$, we write

$$
Y=\left(\frac{1+\operatorname{tg} \frac{\alpha}{2}}{1-\operatorname{tg} \frac{\alpha}{2}}\right)^{2}=\left(\frac{\operatorname{tg} \frac{\pi}{4}+\operatorname{tg} \frac{\alpha}{2}}{1-\operatorname{tg} \frac{\pi}{4} \operatorname{tg} \frac{\alpha}{2}}\right)^{2}=\left(\operatorname{tg}\left(\frac{\pi}{4}+\frac{\alpha}{2}\right)\right)^{2}=\operatorname{tg}^{2}\left(\frac{\pi}{4}+\frac{\alpha}{2}\right)
$$

Then $X+Y=\operatorname{tg} 2 \alpha+\operatorname{tg}^{2}\left(\frac{\pi}{4}+\frac{\alpha}{2}\right)$.

The identity is proved.",3.015. $\sin 2 \alpha(1+\operatorname{tg} 2 \alpha \operatorname{tg} \alpha)+\frac{1+\sin \alpha}{1-\sin \alpha}=\operatorname{tg} 2 \alpha+\operatorname{tg}^{2}\left(\frac{\pi}{4}+\frac{\alpha}{2}\right)$.,,"import Mathlib

/- 3.015. $\sin 2 \alpha(1+\operatorname{tg} 2 \alpha \operatorname{tg} \alpha)+\frac{1+\sin \alpha}{1-\sin \alpha}=\operatorname{tg} 2 \alpha+\operatorname{tg}^{2}\left(\frac{\pi}{4}+\frac{\alpha}{2}\right)$. -/
theorem algebra_185292 (α : ℝ) :
    Real.sin (2 * α) * (1 + Real.tan (2 * α) * Real.tan α) +
    (1 + Real.sin α) / (1 - Real.sin α) =
    Real.tan (2 * α) + Real.tan ((Real.pi / 4) + α / 2) ^ 2 := by",,
8387a538-9b31-57ed-981a-ef25ea7dccbe,math-word-problem,no,,no,yes,"1. **Understanding the Set \( D \)**:
   The set \( D \) is defined as:
   \[
   D := \{(x, y) \mid x, y \in \mathbb{R}_+, x \ne y, x^y = y^x\}
   \]
   This implies that \( x \) and \( y \) are positive real numbers, not equal to each other, and satisfy the equation \( x^y = y^x \).

2. **Analyzing the Equation \( x^y = y^x \)**:
   To understand the relationship between \( x \) and \( y \), we take the natural logarithm on both sides:
   \[
   \ln(x^y) = \ln(y^x) \implies y \ln x = x \ln y
   \]
   Rearranging this, we get:
   \[
   \frac{\ln x}{x} = \frac{\ln y}{y}
   \]
   Let \( f(t) = \frac{\ln t}{t} \). The function \( f(t) \) is known to have a maximum at \( t = e \) (where \( e \) is the base of the natural logarithm).

3. **Behavior of \( f(t) \)**:
   Since \( f(t) \) has a maximum at \( t = e \), for \( t \ne e \), \( f(t) \) is strictly decreasing for \( t > e \) and strictly increasing for \( t < e \). Therefore, if \( x \ne y \) and both \( x \) and \( y \) are not equal to \( e \), one must be greater than \( e \) and the other less than \( e \).

4. **Finding the Infimum**:
   We need to find:
   \[
   \inf_{(x,y) \in D} x^\alpha y^\beta
   \]
   Given \( \alpha \le \beta \), we consider the behavior of \( x^\alpha y^\beta \) under the constraint \( x^y = y^x \).

5. **Considering \( x > 1 \) and \( y > 1 \)**:
   Suppose \( x > 1 \) and \( y > 1 \). From the previous analysis, we know that \( x \ne y \) and \( x^y = y^x \). We need to show that \( x^y > e^e \).

6. **Proving \( x^y > e^e \)**:
   Since \( f(t) = \frac{\ln t}{t} \) has a maximum at \( t = e \), for \( x \ne y \) and \( x, y > 1 \), we have:
   \[
   x^y = y^x \implies x^y > e^e
   \]
   This is because \( x \) and \( y \) must be on opposite sides of \( e \) (one greater than \( e \) and one less than \( e \)), and the product \( x^y \) will be greater than \( e^e \).

7. **Conclusion**:
   Since \( x^y > e^e \) for all \( (x, y) \in D \), the infimum of \( x^\alpha y^\beta \) will be achieved when \( x \) and \( y \) are as close to \( e \) as possible, but still satisfying \( x \ne y \). Therefore, the infimum is:
   \[
   \inf_{(x,y) \in D} x^\alpha y^\beta = e^{\alpha + \beta}
   \]

The final answer is \( \boxed{ e^{\alpha + \beta} } \).","Let $D:=\{(x, y)\mid x,y\in\mathbb R_+,x \ne y,x^y=y^x\}$. (Obvious that $x\ne1$ and $y\ne1$). And let $\alpha\le\beta$ be positive real numbers. Find
$$\inf_{(x,y)\in D}x^\alpha y^\beta.$$

[i]Proposed by Arkady Alt[/i]",,"import Mathlib

open Real Set
open scoped BigOperators

/- Let $D:=\{(x, y)\mid x,y\in\mathbb R_+,x \ne y,x^y=y^x\}$. (Obvious that $x\ne1$ and $y\ne1$). And let $\alpha\le\beta$ be positive real numbers. Find
$$\inf_{(x,y)\in D}x^\alpha y^\beta.$$

[i]Proposed by Arkady Alt[/i] -/
theorem calculus_33742 (α β : ℝ) (h₀ : α > 0) (h₁ : β > 0)
  (h₂ : α ≤ β) :
  IsLeast {x | ∃ (a b : ℝ), a > 0 ∧ b > 0 ∧ a ≠ b ∧ a ^ b = b ^ a ∧ x = a ^ α * b ^ β} (exp (α + β)) :=
",,
a0432794-37f8-553d-8563-f08f1d158099,math-word-problem,no,,no,no,,"For any positive integers $x$, $y$, $z$, if $x|{{y}^{3}}$, $y|{{z}^{3}}$, $z|{{x}^{3}}$. And $xyz|{{(x+y+z)}^{n}}$, find the smallest positive integer $n$ that satisfies the condition.",,"import Mathlib

/- For any positive integers $x$, $y$, $z$, if $x|{{y}^{3}}$, $y|{{z}^{3}}$, $z|{{x}^{3}}$. And $xyz|{{(x+y+z)}^{n}}$, find the smallest positive integer $n$ that satisfies the condition. -/
theorem number_theory_8981 :
    IsLeast {n : ℕ | 0 < n ∧ ∀ x y z, x > 0 → y > 0 → z > 0 → x ∣ y^3 → y ∣ z^3 → z ∣ x^3 → x * y * z ∣ (x + y + z)^n} 13 := by",,
4d8e161e-124b-55a2-ba58-f918a73b4c56,proof,no,,no,yes,"8.29. It is clear that

$$
x^{n}-n x+n-1=\left(1+x+\ldots+x^{n-1}-n\right)(x-1)
$$

If $x>1$, then both expressions in parentheses are positive, and if $0<x<1$, they are negative.",8.29. Let $n>1$ be a natural number. Prove that $x^{n}-n x+n-1 \geqslant 0$ for all $x>0$.,,"import Mathlib

/- 8.29. Let $n>1$ be a natural number. Prove that $x^{n}-n x+n-1 \geqslant 0$ for all $x>0$. -/
theorem inequalities_224726 (n : ℕ) (hn : 1 < n) (x : ℝ) (hx : 0 < x) :
    x^n - n * x + n - 1 ≥ 0 := by",,
3c138b68-b2ea-5e95-b9df-7c5522fec207,proof,no,,no,yes,"1. **Initial Setup and Iteration Function:**
   Given the sequence $\{a_n\}$ defined by the recurrence relation:
   \[
   a_{n+1} = a_n + \frac{1}{2006}a_n^2
   \]
   with the initial condition $a_0 = \frac{1}{2}$.

2. **Transformation and Approximation:**
   To simplify the problem, we can consider the function $f(x) = x + \frac{1}{2006}x^2$. For small $x$, this function can be approximated by the series expansion:
   \[
   f(x) \approx x + \frac{1}{2006}x^2 + \left(\frac{1}{2006}x^2\right)^2 + \cdots
   \]
   This series resembles the geometric series, but for our purposes, we will focus on the first few terms.

3. **Behavior of the Sequence:**
   We start with $a_0 = \frac{1}{2}$. For small $x$, the function $f(x)$ iteratively applied will be close to:
   \[
   f(x) \approx x + \frac{1}{2006}x^2
   \]
   After $n$ iterations, the value of $a_n$ will be influenced by the quadratic term $\frac{1}{2006}a_n^2$.

4. **Bounding the Sequence:**
   We need to show that $1 - \frac{1}{2008} < a_{2006} < 1$. To do this, we analyze the growth of $a_n$:
   - Initially, $a_0 = \frac{1}{2}$.
   - Each step increases $a_n$ by a small amount $\frac{1}{2006}a_n^2$.

5. **Upper Bound:**
   To show $a_{2006} < 1$, observe that $a_n$ is increasing and bounded above by 1. If $a_n$ were to reach 1, the term $\frac{1}{2006}a_n^2$ would become $\frac{1}{2006}$, which is a small increment. Since $a_n$ starts from $\frac{1}{2}$ and increases slowly, it will not reach 1 within 2006 steps.

6. **Lower Bound:**
   To show $a_{2006} > 1 - \frac{1}{2008}$, consider the cumulative effect of the increments:
   \[
   a_{n+1} - a_n = \frac{1}{2006}a_n^2
   \]
   Summing these increments from $n=0$ to $n=2005$, we get:
   \[
   a_{2006} = a_0 + \sum_{n=0}^{2005} \frac{1}{2006}a_n^2
   \]
   Since $a_n$ is increasing and starts from $\frac{1}{2}$, the sum of the increments will be significant enough to ensure $a_{2006}$ is greater than $1 - \frac{1}{2008}$.

7. **Conclusion:**
   Combining the upper and lower bounds, we have:
   \[
   1 - \frac{1}{2008} < a_{2006} < 1
   \]

The final answer is \( \boxed{ 1 - \frac{1}{2008} < a_{2006} < 1 } \)","Given a sequence $\{ a_{n}\}$ such that $a_{n+1}=a_{n}+\frac{1}{2006}a_{n}^{2}$ , $n \in N$, $a_{0}=\frac{1}{2}$.

Prove that $1-\frac{1}{2008}< a_{2006}< 1$.",,"import Mathlib

open scoped BigOperators

/- Given a sequence $\{ a_{n}\}$ such that $a_{n+1}=a_{n}+\frac{1}{2006}a_{n}^{2}$ , $n \in N$, $a_{0}=\frac{1}{2}$.

Prove that $1-\frac{1}{2008}< a_{2006}< 1$. -/
theorem inequalities_68589 (a : ℕ → ℝ) (h₀ : ∀ n, a (n + 1) = a n + (1 / 2006) * (a n)^2)
  (h₁ : a 0 = 1 / 2) :
  1 - 1 / 2008 < a 2006 ∧ a 2006 < 1 :=
",,
c3422a54-4781-5210-9f64-4045951cbcb9,math-word-problem,yes,yes,yes_generated,no,,The graph of an equation \[\sqrt{(x-3)^2 + (y+4)^2} + \sqrt{(x+5)^2 + (y-8)^2} = 20.\]is an ellipse. What is the distance between its foci?,"The equation provided, `sqrt((x - 3)^2 + (y + 4)^2) + sqrt((x + 5)^2 + (y - 8)^2) = 20`, describes an ellipse. The two foci of this ellipse are the points `F₁ = (3, -4)` and `F₂ = (-5, 8)`. The problem requires finding the distance between these two foci.

The distance between `F₁` and `F₂` is given by the distance formula:
`Distance = sqrt((-5 - 3)² + (8 - (-4))²)`

We will prove that this distance is equal to `4 * sqrt(13)` by direct computation.

First, let's calculate the value of the expression under the square root:
`(-5 - 3)² + (8 - (-4))² = (-8)² + (12)² = 64 + 144 = 208`
Therefore, the distance is equal to `sqrt(208)`.

Next, we will show that `sqrt(208)` simplifies to `4 * sqrt(13)`. To prove the equality `sqrt(208) = 4 * sqrt(13)`, it is sufficient to show that `208 = (4 * sqrt(13))^2` and that `4 * sqrt(13)` is non-negative. The second condition is clearly true.

Let's compute the square of `4 * sqrt(13)`:
`(4 * sqrt(13))² = 4² * (sqrt(13))² = 16 * 13 = 208`
Since `(4 * sqrt(13))² = 208`, we can conclude that `sqrt(208) = 4 * sqrt(13)`.

Thus, the distance between the foci is indeed `4 * sqrt(13)`.","import Mathlib

open Real Set
open scoped BigOperators

/- The graph of an equation \[\sqrt{(x-3)^2 + (y+4)^2} + \sqrt{(x+5)^2 + (y-8)^2} = 20.\]is an ellipse. What is the distance between its foci? -/
theorem algebra_10804 {x y : ℝ} (h : sqrt ((x - 3)^2 + (y + 4)^2) + sqrt ((x + 5)^2 + (y - 8)^2) = 20) :
    sqrt ((-5 - 3)^2 + (8 - (-4))^2) = 4 * sqrt 13 := by","import Mathlib

open Real Set
open scoped BigOperators

theorem algebra_10804 {x y : ℝ} (h : sqrt ((x - 3)^2 + (y + 4)^2) + sqrt ((x + 5)^2 + (y - 8)^2) = 20) :
    sqrt ((-5 - 3)^2 + (8 - (-4))^2) = 4 * sqrt 13 := by
  have h1 : sqrt ((-5 - 3)^2 + (8 - (-4))^2) = sqrt 208 := by
    norm_num
  rw [h1]
  have h2 : sqrt 208 = 4 * sqrt 13 := by
    rw [Real.sqrt_eq_iff_sq_eq] <;> norm_num
    <;> ring_nf <;> norm_num
  rw [h2]
  all_goals norm_num",
