uuid,question_type,has_fl_proof?,fl_proof_compiles?,has_nl_proof?,has_soln_description?,soln_description,informal_statement,informal_proof,formal_statement,formal_proof,fl_proof_compilation_REPLerror
9272ed06-b76d-580d-ba7a-2a967657ed34,math-word-problem,yes,yes,yes_generated,yes,"Solution. Let's find the velocity of the body at any moment of time $t$:

$$
v=\frac{d s}{d t}=4 t+3
$$

Calculate the velocity of the body at the moment $t=3$:

$$
v_{t=3}=4 \cdot 3+3=15(\mathrm{M} / \mathrm{c})
$$

Determine the kinetic energy of the body at the moment $t=3$:

$$
\frac{m v^{2}}{2}=\frac{8 \cdot 15^{2}}{2}=900(\text { J })
$$",413. A body with a mass of 8 kg moves in a straight line according to the law $s=$ $=2 t^{2}+3 t-1$. Find the kinetic energy of the body $\left(m v^{2} / 2\right)$ 3 seconds after the start of the motion.,"We are asked to find the value of the expression $\frac{m v^2}{2}$, which represents the kinetic energy, where the mass is $m=8$ kg and the velocity $v$ is determined at time $t=3$ seconds. The position of the body is given by the function $s(t) = 2t^2 + 3t - 1$.

The velocity $v(t)$ is the derivative of the position function $s(t)$ with respect to time $t$. We denote this derivative as $s'(t)$. The expression we need to evaluate is therefore $\frac{8 \cdot (s'(3))^2}{2}$.

First, we find the derivative of $s(t)$. Using the rules of differentiation for polynomials:
1.  The derivative of $2t^2$ is $2 \cdot (2t) = 4t$.
2.  The derivative of $3t$ is $3 \cdot 1 = 3$.
3.  The derivative of the constant $-1$ is $0$.

By the sum rule for derivatives, the derivative of $s(t)$ is:
$s'(t) = \frac{d}{dt}(2t^2 + 3t - 1) = 4t + 3$.

Next, we evaluate the velocity at $t = 3$ seconds by substituting $t=3$ into the derivative function:
$v = s'(3) = 4(3) + 3 = 12 + 3 = 15$.

Finally, we substitute the mass $m=8$ and the calculated velocity $v=15$ into the kinetic energy formula:
$$ \frac{m v^2}{2} = \frac{8 \cdot 15^2}{2} $$
We perform the arithmetic calculation:
$$ \frac{8 \cdot 225}{2} = \frac{1800}{2} = 900 $$
Thus, the value of the expression is 900.","import Mathlib

/- 413. A body with a mass of 8 kg moves in a straight line according to the law $s=$ $=2 t^{2}+3 t-1$. Find the kinetic energy of the body $\left(m v^{2} / 2\right)$ 3 seconds after the start of the motion. -/
theorem calculus_155793 (s : ℝ → ℝ) (h₀ : s = fun t => 2 * t ^ 2 + 3 * t - 1) :
    (deriv s 3) ^ 2 * 8 / 2 = 900 := by","import Mathlib

theorem calculus_155793 (s : ℝ → ℝ) (h₀ : s = fun t => 2 * t ^ 2 + 3 * t - 1) :
    (deriv s 3) ^ 2 * 8 / 2 = 900 := by 
  rw [h₀]
  -- compute the derivative at 3
  simp [deriv_pow, deriv_mul, deriv_id', mul_comm]
  -- norm_num is powerful enough to compute derivatives of polynomial at a point
  -- s(t) = 2t^2 + 3t - 1, s'(t) = 4t + 3, so s'(3) = 4 * 3 + 3 = 15
  norm_num [deriv_const]",
88d831c0-4f1f-51b2-a328-52365109ebf3,math-word-problem,no,,no,yes,$\begin{array}{l}\text { [Analysis] Original expression }=\left(\frac{1}{3 \times 1}+\frac{1}{3 \times 2}+\frac{1}{3 \times 4}+\frac{1}{3 \times 8}+\frac{1}{3 \times 16}+\frac{1}{3 \times 32}+\frac{1}{3 \times 64}+\frac{1}{3 \times 128}\right) \times 128 \\ =\frac{1}{3} \times(128+64+32+16+8+4+2+1)=\frac{1}{3} \times 255=85 \\\end{array}$,6. $\left(\frac{1}{3}+\frac{1}{6}+\frac{1}{12}+\frac{1}{24}+\frac{1}{48}+\frac{1}{96}+\frac{1}{192}+\frac{1}{384}\right) \times 128=$ .,,"import Mathlib

/- 6. $\left(\frac{1}{3}+\frac{1}{6}+\frac{1}{12}+\frac{1}{24}+\frac{1}{48}+\frac{1}{96}+\frac{1}{192}+\frac{1}{384}\right) \times 128=$ . -/
theorem algebra_232639 : (1/3 + 1/6 + 1/12 + 1/24 + 1/48 + 1/96 + 1/192 + 1/384)*128=85 := by",,
fc98f2cb-72d6-52cc-8dfe-c2b332113fc6,math-word-problem,no,,no,yes,"## Solution

$y^{\prime}=2 \cdot \ln ^{2} x+(2 x+3) \cdot 2 \cdot \ln x \cdot \frac{1}{x}=2 \cdot \ln ^{2} x+\frac{2(2 x+3) \cdot \ln x}{x}$

$y^{\prime \prime}=\left(y^{\prime}\right)^{\prime}=\left(2 \cdot \ln ^{2} x+\frac{2(2 x+3) \cdot \ln x}{x}\right)^{\prime}=4 \cdot \ln x \cdot \frac{1}{x}+\left(4 \ln x+\frac{6 \cdot \ln x}{x}\right)^{\prime}=$

$=4 \cdot \ln x \cdot \frac{1}{x}+4 \cdot \frac{1}{x}+6 \cdot \frac{\frac{1}{x} \cdot x-\ln x \cdot 1}{x^{2}}=\frac{4 \cdot \ln x}{x}+\frac{4}{x}+\frac{6}{x^{2}}-\frac{6 \ln x}{x^{2}}$

$y^{\prime \prime \prime}=\left(y^{\prime \prime}\right)^{\prime}=\left(\frac{4 \cdot \ln x}{x}+\frac{4}{x}+\frac{6}{x^{2}}-\frac{6 \ln x}{x^{2}}\right)^{\prime}=$

$=4 \frac{\frac{1}{x} \cdot x-\ln x \cdot 1}{x^{2}}-\frac{4}{x^{2}}-2 \cdot \frac{6}{x^{3}}-6 \cdot \frac{\frac{1}{x} \cdot x^{2}-\ln x \cdot 2 x}{x^{4}}=\frac{4-4 \ln x}{x^{2}}-\frac{4}{x^{2}}-\frac{12}{x^{3}}-\frac{6-12 \ln x}{x^{3}}=$ $=\frac{-4 \ln x \cdot x-12-6+12 \ln x}{x^{3}}=\frac{4 \ln x \cdot(3-x)-18}{x^{3}}$

## Problem Kuznetsov Differentiation 19-9","## Task Condition

Find the derivative of the specified order.

$y=(2 x+3) \ln ^{2} x, y^{\prime \prime \prime}=?$",,"import Mathlib

open Real

/- ## Task Condition

Find the derivative of the specified order.

$y=(2 x+3) \ln ^{2} x, y^{\prime \prime \prime}=?$ -/
theorem calculus_137000 {f : ℝ → ℝ} (hf : f = fun x => (2 * x + 3) * log x ^ 2) :
    iteratedDeriv 3 f = fun x => (4 * log x * (3 - x) - 18) / x ^ 3 := by",,
51de6660-9ed0-59b8-b34c-812073ddace0,proof,no,,no,yes,"To prove, without loss of generality, let $a=\frac{x}{y}, b=\frac{y}{z}$, then $c=\frac{z}{x}$ (where $x, y, z \in \mathbf{R}^{+}$), the inequality to be proven is: $(x-y+z)(y+z-x)(z-x+y) \leqslant z y x$.
From $x y z-(x-y+z)(y+z-x)(z-x+y)=\sum x^{3}-\sum x^{2}(y+z)+3 x y z$
and equation $(25-2)$, it follows that $(x-y+z)(y+z-x)(z-x+y) \leqslant x y z$, hence $\left(a-1+\frac{1}{b}\right)\left(b-1+\frac{1}{c}\right)\left(c-1+\frac{1}{a}\right) \leqslant 1$.","Example 8 Let $a, b, c$ be non-negative real numbers, and $abc=1$. Prove that:
$$
\left(a-1+\frac{1}{b}\right)\left(b-1+\frac{1}{c}\right)\left(c-1+\frac{1}{a}\right) \leqslant 1 .
$$
(IMO - 41 Problem)",,"import Mathlib

/- Example 8 Let $a, b, c$ be non-negative real numbers, and $abc=1$. Prove that:
$$
\left(a-1+\frac{1}{b}\right)\left(b-1+\frac{1}{c}\right)\left(c-1+\frac{1}{a}\right) \leqslant 1 .
$$
(IMO - 41 Problem) -/
theorem inequalities_139248
    (a b c : ℝ)
    (h₀ : 0 ≤ a)
    (h₁ : 0 ≤ b)
    (h₂ : 0 ≤ c)
    (h₃ : a * b * c = 1) :
    (a - 1 + 1 / b) * (b - 1 + 1 / c) * (c - 1 + 1 / a) ≤ 1 := by",,
13d69d90-9414-58a9-8eb7-4e9d4eed1df6,proof,no,,no,no,,"The sequence $a_1, a_2, \ldots, a_n$ of positive real numbers satisfies the following conditions:
\begin{align*}
\sum_{i=1}^n \frac{1}{a_i} \le 1 \ \ \ \ \hbox{and} \ \ \ \ a_i \le a_{i-1}+1
\end{align*}
for all $i\in \lbrace 1, 2, \ldots, n \rbrace$, where $a_0$ is an integer. Prove that
\begin{align*}
n \le 4a_0 \cdot \sum_{i=1}^n \frac{1}{a_i}
\end{align*}",,"import Mathlib

open Finset Real

/- The sequence $a_1, a_2, \ldots, a_n$ of positive real numbers satisfies the following conditions:
\begin{align*}
\sum_{i=1}^n \frac{1}{a_i} \le 1 \ \ \ \ \hbox{and} \ \ \ \ a_i \le a_{i-1}+1
\end{align*}
for all $i\in \lbrace 1, 2, \ldots, n \rbrace$, where $a_0$ is an integer. Prove that
\begin{align*}
n \le 4a_0 \cdot \sum_{i=1}^n \frac{1}{a_i}
\end{align*} -/
theorem inequalities_92684 {n : ℕ} (hn : 0 < n) (a : ℕ → ℝ)
    (ha : ∀ i ∈ Icc 1 n, 0 < a i) (hsum : ∑ i ∈ Icc 1 n, 1 / a i ≤ 1)
    (hle : ∀ i ∈ Icc 1 n, a i ≤ a (i - 1) + 1) (ha0 : ∃ m : ℤ, a 0 = m) :
    n ≤ 4 * a 0 * ∑ i ∈ Icc 1 n, 1 / a i := by",,
11f24d7f-4ffb-5100-b4e7-d01efb84499b,math-word-problem,yes,yes,yes_generated,no,,What is \[2-4x-6x^2+8+10x-12x^2-14+16x+18x^2\] in terms of $x$?,"Let the function `f` be defined for any real number `x` by the expression:
\[f(x) = 2 - 4x - 6x^2 + 8 + 10x - 12x^2 - 14 + 16x + 18x^2\]
We want to show that this function is equivalent to the function defined by `g(x) = 22x - 4`.

To prove that two functions are equal, it suffices to show that they produce the same output for any arbitrary input `x`. We will simplify the expression for `f(x)` by collecting terms of the same degree.

1.  **Collect the constant terms:**
    The constant terms in the expression for `f(x)` are `2`, `8`, and `-14`. Their sum is:
    \[2 + 8 - 14 = 10 - 14 = -4\]

2.  **Collect the linear terms (containing `x`):**
    The linear terms are `-4x`, `10x`, and `16x`. Summing their coefficients gives:
    \[(-4 + 10 + 16)x = (6 + 16)x = 22x\]

3.  **Collect the quadratic terms (containing `x^2`):**
    The quadratic terms are `-6x^2`, `-12x^2`, and `18x^2`. Summing their coefficients gives:
    \[(-6 - 12 + 18)x^2 = (-18 + 18)x^2 = 0x^2 = 0\]

Combining these simplified parts, we find that the expression for `f(x)` is:
\[f(x) = (-4) + (22x) + (0) = 22x - 4\]

Since `f(x) = 22x - 4` for any real number `x`, the function `f` is identical to the function `x \mapsto 22x - 4`.","import Mathlib

/- What is \[2-4x-6x^2+8+10x-12x^2-14+16x+18x^2\] in terms of $x$? -/
theorem algebra_14525 (f : ℝ → ℝ) (hf : f = fun x => 2 - 4 * x - 6 * x ^ 2 + 8 + 10 * x - 12 * x ^ 2 - 14 + 16 * x + 18 * x ^ 2) :
    f = fun x => 22 * x - 4 := by","import Mathlib

theorem algebra_14525 (f : ℝ → ℝ) (hf : f = fun x => 2 - 4 * x - 6 * x ^ 2 + 8 + 10 * x - 12 * x ^ 2 - 14 + 16 * x + 18 * x ^ 2) :
    f = fun x => 22 * x - 4 := by
  funext x
  rw [hf]
  ring",
a8bd9942-91d3-5987-b2a7-9a69f669175c,proof,no,,no,yes,"Let $f(x)=a_{0}+a_{1} x+a_{2} x^{2}+\cdots+a_{n} x^{n}+\cdots$
Then $-3 x f(x)=-3 a_{0} x-3 a_{1} x^{2}-\cdots-3 a_{n-1} x^{n}-\cdots$
$$
2 x^{2} f(x)=2 a_{0} x^{2}+\cdots+2 a_{n-2} x^{n}+\cdots
$$

Adding the two equations and rearranging, we get $f(x)=\frac{x}{1-3 x+x^{2}}$.
$$
\text { Therefore, } \begin{aligned}
f(x) & =\frac{x}{(1-2 x)(1-x)}=\frac{(1-x)-(1-2 x)}{(1-2 x)(1-x)}=\frac{1}{1-2 x}-\frac{1}{x} \\
& =\sum_{n=0}^{\infty} 2^{n} x^{n}-\sum_{n=0}^{\infty} x^{n}=\sum_{n=0}^{\infty}\left(2^{n}-1\right) x^{n} .
\end{aligned}
$$

Thus, $a_{n}=2^{n}-1$, and hence $a_{100}=2^{100}-1>2^{99}$.","Example 9 Given positive integers $a_{0}, a_{1}, \cdots, a_{100}$, it is known that $a_{1}>a_{0}, a_{2}=3 a_{1}-2 a_{0}, a_{3}=3 a_{2}-2 a_{1}$, $\cdots, a_{100}=3 a_{99}-2 a_{98}$. Prove: $a_{100}>2^{99}$.
(2nd All-Russian Olympiad Problem)",,"import Mathlib

/- Example 9 Given positive integers $a_{0}, a_{1}, \cdots, a_{100}$, it is known that $a_{1}>a_{0}, a_{2}=3 a_{1}-2 a_{0}, a_{3}=3 a_{2}-2 a_{1}$, $\cdots, a_{100}=3 a_{99}-2 a_{98}$. Prove: $a_{100}>2^{99}$.
(2nd All-Russian Olympiad Problem) -/
theorem algebra_278612 (a : ℕ → ℤ) (ha : ∀ i ∈ Finset.Icc 0 100, a i > 0)
    (h1 : a 1 > a 0) (h2 : a 2 = 3 * a 1 - 2 * a 0) (h3 : a 3 = 3 * a 2 - 2 * a 1)
    (h4 : ∀ i ∈ Finset.Icc 4 100, a i = 3 * a (i - 1) - 2 * a (i - 2)) :
    a 100 > 2 ^ 99 := by",,
8ada3a95-19cd-5241-a57b-0f04bd6f996d,math-word-problem,yes,yes,yes_generated,no,,"The dilation, centered at $-1 + 4i,$ with scale factor $-2,$ takes $2i$ to which complex number?","Let the point be \( z = 2i \), the center of dilation be \( c = -1 + 4i \), and the scale factor be \( k = -2 \). The formula for the dilation of a point \( z \) is given by the expression \( k(z - c) + c \). We want to evaluate this expression for the given values.

First, we substitute \( z = 2i \) into the expression:
\[ (-2) \cdot (2i - (-1 + 4i)) + (-1 + 4i) \]
We begin by simplifying the term inside the parentheses:
\[ 2i - (-1 + 4i) = 2i + 1 - 4i = 1 - 2i \]
Next, we multiply this result by the scale factor, \( -2 \):
\[ (-2) \cdot (1 - 2i) = (-2)(1) - (-2)(2i) = -2 + 4i \]
Finally, we add the center of dilation, \( c \), to this result:
\[ (-2 + 4i) + (-1 + 4i) \]
We combine the real and imaginary parts separately:
\[ (-2 - 1) + (4 + 4)i = -3 + 8i \]
Thus, the dilation takes \( 2i \) to the complex number \( -3 + 8i \).","import Mathlib

/- The dilation, centered at $-1 + 4i,$ with scale factor $-2,$ takes $2i$ to which complex number? -/
theorem calculus_14786 (z : ℂ) (hz : z = 2 * .I) :
    (z - (-1 + 4 * .I)) * (-2) + (-1 + 4 * .I) = -3 + 8 * .I := by","import Mathlib

theorem calculus_14786 (z : ℂ) (hz : z = 2 * .I) :
    (z - (-1 + 4 * .I)) * (-2) + (-1 + 4 * .I) = -3 + 8 * .I := by
  rw [hz]
  ring_nf
  <;> simp [Complex.I_mul_I, Complex.ext_iff]
  <;> norm_num
  <;> try ring",
e4bb8fc3-3d63-53ef-b076-ecc197b46471,math-word-problem,yes,yes,yes_generated,no,,Find the largest value of $x$ that satisfies the equation $|5x-1|=x+3$.,"To establish that 1 is the greatest value of $x$ satisfying the equation $|5x - 1| = x + 3$, we must prove two conditions:
1.  That $x=1$ is a solution to the equation.
2.  That any solution $y$ to the equation satisfies $y \le 1$.

First, we verify that $x=1$ is a solution. Substituting $x=1$ into the equation gives:
$|5(1) - 1| = 1 + 3$
$|5 - 1| = 4$
$|4| = 4$
$4 = 4$
This is true, so 1 is a solution.

Next, we prove that for any real number $y$ such that $|5y - 1| = y + 3$, it must be the case that $y \le 1$. We proceed by considering two cases based on the sign of the expression inside the absolute value.

**Case 1: $5y - 1 \ge 0$.**
In this case, the definition of the absolute value function states that $|5y - 1| = 5y - 1$. The equation becomes:
$5y - 1 = y + 3$
Subtracting $y$ from both sides gives $4y - 1 = 3$. Adding 1 to both sides gives $4y = 4$. Dividing by 4, we find $y = 1$.
The inequality $y \le 1$ is satisfied, as $1 \le 1$.

**Case 2: $5y - 1 < 0$.**
In this case, the definition of the absolute value function states that $|5y - 1| = -(5y - 1) = 1 - 5y$. The equation becomes:
$1 - 5y = y + 3$
Adding $5y$ to both sides gives $1 = 6y + 3$. Subtracting 3 from both sides gives $-2 = 6y$. Dividing by 6, we find $y = -2/6 = -1/3$.
The inequality $y \le 1$ is satisfied, as $-1/3 \le 1$.

Since in both possible cases any solution $y$ satisfies $y \le 1$, and we have already shown that 1 is a solution, we conclude that 1 is the greatest value of $x$ that satisfies the equation.","import Mathlib

/- Find the largest value of $x$ that satisfies the equation $|5x-1|=x+3$. -/
theorem algebra_18682 : IsGreatest {x : ℝ | abs (5 * x - 1) = x + 3} 1 := by","import Mathlib

theorem algebra_18682 : IsGreatest {x : ℝ | abs (5 * x - 1) = x + 3} 1 := by
  constructor
  · -- We need to show that 1 is a solution to the equation |5x - 1| = x + 3.
    show abs (5 * (1 : ℝ) - 1) = (1 : ℝ) + 3
    norm_num [abs_of_nonneg]
  · -- We need to prove that any solution y to the equation |5y - 1| = y + 3 is ≤ 1.
    intro y hy
    have h_eq : abs (5 * y - 1) = y + 3 := hy
    -- We consider two cases based on the definition of absolute value
    by_cases h : 5 * y - 1 ≥ 0
    · -- Case 1: If 5y - 1 ≥ 0, then |5y - 1| = 5y - 1
      rw [abs_of_nonneg h] at h_eq
      linarith
    · -- Case 2: If 5y - 1 < 0, then |5y - 1| = -(5y - 1) = 1 - 5y
      rw [abs_of_neg (lt_of_not_ge h)] at h_eq
      linarith",
52281faa-2465-530c-8111-6f0c5cc99c2c,math-word-problem,yes,yes,yes_generated,no,,Find the value of $1\times 2\times 3+2\times 3\times 4+3\times 4\times 5+4\times 5\times 6+\cdots +11\times 12\times 13$.,"We want to show that the sum $1\times 2\times 3+2\times 3\times 4+3\times 4\times 5+4\times 5\times 6+\cdots +11\times 12\times 13$ is equal to $6006$.

This sum can be expressed in summation notation as:
$$ \sum_{i=1}^{11} i(i+1)(i+2) $$

We will prove the identity by direct computation. We evaluate each term of the summation for each value of $i$ from 1 to 11:
\begin{itemize}
    \item For $i=1$: $1 \cdot (1+1) \cdot (1+2) = 1 \cdot 2 \cdot 3 = 6$
    \item For $i=2$: $2 \cdot (2+1) \cdot (2+2) = 2 \cdot 3 \cdot 4 = 24$
    \item For $i=3$: $3 \cdot (3+1) \cdot (3+2) = 3 \cdot 4 \cdot 5 = 60$
    \item For $i=4$: $4 \cdot (4+1) \cdot (4+2) = 4 \cdot 5 \cdot 6 = 120$
    \item For $i=5$: $5 \cdot (5+1) \cdot (5+2) = 5 \cdot 6 \cdot 7 = 210$
    \item For $i=6$: $6 \cdot (6+1) \cdot (6+2) = 6 \cdot 7 \cdot 8 = 336$
    \item For $i=7$: $7 \cdot (7+1) \cdot (7+2) = 7 \cdot 8 \cdot 9 = 504$
    \item For $i=8$: $8 \cdot (8+1) \cdot (8+2) = 8 \cdot 9 \cdot 10 = 720$
    \item For $i=9$: $9 \cdot (9+1) \cdot (9+2) = 9 \cdot 10 \cdot 11 = 990$
    \item For $i=10$: $10 \cdot (10+1) \cdot (10+2) = 10 \cdot 11 \cdot 12 = 1320$
    \item For $i=11$: $11 \cdot (11+1) \cdot (11+2) = 11 \cdot 12 \cdot 13 = 1716$
\end{itemize}

Now, we sum these values:
$$ S = 6 + 24 + 60 + 120 + 210 + 336 + 504 + 720 + 990 + 1320 + 1716 $$
Adding these terms together, we find:
$$ S = 6006 $$
Thus, we have shown that $\sum_{i=1}^{11} i(i+1)(i+2) = 6006$.","import Mathlib

/- Find the value of $1\times 2\times 3+2\times 3\times 4+3\times 4\times 5+4\times 5\times 6+\cdots +11\times 12\times 13$. -/
theorem algebra_3659 : ∑ i ∈ Finset.Icc 1 11, i * (i + 1) * (i + 2) = 6006 := by","import Mathlib

theorem algebra_3659 : ∑ i ∈ Finset.Icc 1 11, i * (i + 1) * (i + 2) = 6006 := by 
  norm_num [Finset.sum_Icc_succ_top]",
